code, display, definition
109006, Anxiety disorder of childhood OR adolescence, 
122003, Choroidal hemorrhage, 
127009, Spontaneous abortion with laceration of cervix, 
129007, Homoiothermia, 
134006, Decreased hair growth, 
140004, Chronic pharyngitis, 
144008, Normal peripheral vision, 
147001, Superficial foreign body of scrotum without major open wound but with infection, 
150003, Abnormal bladder continence, 
151004, Meningitis due to gonococcus, 
162004, Severe manic bipolar I disorder without psychotic features, 
165002, Accident-prone, 
168000, Typhlolithiasis, 
171008, Injury of ascending right colon without open wound into abdominal cavity, 
172001, Endometritis following molar AND/OR ectopic pregnancy, 
175004, Supraorbital neuralgia, 
177007, Poisoning by sawfly larvae, 
179005, Apraxia of dressing, 
181007, Hemorrhagic bronchopneumonia, 
183005, Autoimmune pancytopenia, 
184004, Withdrawal arrhythmia, 
188001, Intercostal artery injury, 
192008, Congenital syphilitic hepatomegaly, 
193003, Benign hypertensive renal disease, 
195005, Illegal abortion with endometritis, 
198007, Disease due to Filoviridae, 
199004, Decreased lactation, 
208008, Neurocutaneous melanosis sequence, 
216004, Delusion of persecution, 
219006, Alcohol user, 
222008, Acute epiglottitis with obstruction, 
223003, Tumor of body of uterus affecting pregnancy, 
228007, Lucio phenomenon, 
241006, Motor simple partial status, 
242004, Noninfectious jejunitis, 
253005, Sycosis, 
257006, Acne rosacea, erythematous telangiectatic type, 
258001, Pseudoknuckle pad, 
264008, Blind hypertensive eye, 
276008, Oxytocin poisoning, 
279001, Senile myocarditis, 
281004, Alcoholic dementia, 
282006, Acute myocardial infarction of basal-lateral wall, 
290006, Melnick-Fraser syndrome, 
292003, EEG finding, 
297009, Acute myringitis, 
299007, Paraffinoma of skin, 
303002, Apoplectic pancreatitis, 
308006, Pearly penile papules, 
310008, Penile boil, 
313005, Déjà vu, 
317006, Reactive hypoglycemia, 
320003, Cervical dilatation, 1cm, 
324007, Plaster ulcer, 
330007, Occipital headache, 
335002, Pylorospasm, 
341009, ABO incompatibility reaction, 
349006, Absent tendon reflex, 
355001, Hemorrhagic shock, 
357009, Closed fracture trapezoid, 
358004, Smallpox vaccine poisoning, 
359007, Kernicterus due to isoimmunization, 
360002, Acute radiation disease, 
364006, Acute left-sided heart failure, 
366008, Hidromeiosis, 
368009, Heart valve disorder, 
369001, Normal jugular venous pressure, 
378007, Morquio syndrome, 
382009, Legal history finding relating to child, 
383004, Finding of passive range of hip extension, 
385006, Secondary peripheral neuropathy, 
387003, Melanuria, 
398002, Left axis deviation greater than -90 degrees by EKG, 
407000, Congenital hepatomegaly, 
408005, Tooth chattering, 
409002, Food allergy diet, 
426008, Superficial injury of ankle without infection, 
431005, Hypertrophy of scrotum, 
437009, Abnormal composition of urine, 
440009, Persistent hyperphenylalaninemia, 
442001, Secondary hypopituitarism, 
443006, Cystocele affecting pregnancy, 
447007, Coach in sports activity accident, 
450005, Ulcerative stomatitis, 
452002, Blister of groin without infection, 
460001, Squamous metaplasia of prostate gland, 
467003, Old laceration of pelvic floor muscle, 
470004, Vitreous touch syndrome, 
479003, Graves' disease with pretibial myxedema AND with thyrotoxic crisis, 
486006, Acute vascular insufficiency, 
488007, Fibroid myocarditis, 
490008, Upper respiratory tract hypersensitivity reaction, 
496002, Closed traumatic dislocation of third cervical vertebra, 
504009, Androgen-dependent hirsutism, 
517007, Foreign body in hypopharynx, 
518002, Multiple aggregation, 
520004, Congenital bent nose, 
527001, Spontaneous fetal evolution, Roederer's method, 
536002, Glissonian cirrhosis, 
539009, Conjunctival argyrosis, 
547009, Hypersecretion of calcitonin, 
548004, 13p partial trisomy syndrome, 
554003, 2p partial trisomy syndrome, 
555002, Dicentra species poisoning, 
563001, Nystagmus, 
568005, Habit disorder, 
586008, Contact dermatitis due to primrose, 
590005, Congenital aneurysm of anterior communicating artery, 
596004, Premenstrual dysphoric disorder, 
599006, Persistent pneumothorax, 
600009, Pyromania, 
602001, Ross river fever, 
607007, Decreased vital capacity, 
610000, Spastic aphonia, 
613003, FRAXA - Fragile X syndrome, 
615005, Obstruction due to foreign body accidentally left in operative wound AND/OR body cavity during a procedure, 
616006, Sensorimotor disorder of eyelid, 
626004, Hypercortisolism due to nonpituitary tumor, 
631002, Transfusion reaction due to minor incompatibility, 
634005, Saddle boil, 
640003, Injury of pneumogastric nerve, 
643001, Hypertrophy of lip, 
646009, Idiopathic cyst of anterior chamber, 
649002, Open fracture of distal end of ulna, 
651003, Root work, 
652005, Gangrenous tonsillitis, 
655007, Abnormal fetal heart beat noted before labor in liveborn infant, 
658009, Injury of colon without open wound into abdominal cavity, 
663008, Pulmonary embolism following molar AND/OR ectopic pregnancy, 
664002, Delayed ovulation, 
666000, Poisoning by antivaricose drug AND/OR sclerosing agent, 
675003, Torsion of intestine, 
682004, Thrombosis complicating pregnancy AND/OR puerperium, 
685002, Acquired telangiectasia of small AND/OR large intestines, 
701003, Adult osteochondritis of spine, 
703000, Congenital adhesion of tongue, 
714002, Abrasion AND/OR friction burn of toe with infection, 
715001, Nontraumatic rupture of urethra, 
718004, Acute bronchiolitis with obstruction, 
733007, Superficial foreign body of groin without major open wound but with infection, 
734001, Opocephalus, 
736004, Abscess of hip, 
750009, Schistosoma mansoni infection, 
755004, Postgastrectomy phytobezoar, 
756003, Chronic rheumatic myopericarditis, 
758002, Cyst of uterus, 
775008, Open wound of head with complication, 
776009, Partial arterial retinal occlusion, 
781000, Cestrum diurnum poisoning, 
786005, Clinical stage I B, 
787001, Rheumatic mitral stenosis with regurgitation, 
788006, Disease-related diet, 
792004, CJD - Creutzfeldt-Jakob disease, 
799008, Sigmoid colon ulcer, 
801006, Insect bite, nonvenomous, of foot, infected, 
805002, Pneumoconiosis due to silica, 
811004, Flail motion, 
813001, Ankle instability, 
815008, Episcleritis, 
816009, Genetic recombination, 
818005, Third degree burn of multiple sites of lower limb, 
825003, Superficial injury of axilla with infection, 
827006, Late congenital syphilis, latent (+ sero., - C.S.F., 2 years OR more), 
832007, Moderate major depression, 
834008, Chair-seated facing coital position, 
841002, Congenital absence of skull bone, 
842009, Consanguinity, 
843004, Poliomyelomalacia, 
844005, Finding relating to behavior, 
845006, Inferior mesenteric artery injury, 
849000, Total cataract, 
857002, Erythema simplex, 
862001, Anemia due to chlorate, 
865004, Hyperalimentation formula for ileus, 
871005, Contracted pelvis, 
874002, Therapeutic diuresis, 
875001, Chalcosis of eye, 
888003, Foetal or neonatal effect of maternal blood loss, 
890002, Deep third degree burn of elbow, 
899001, Axis I diagnosis, 
903008, Chorioretinal infarction, 
904002, Pinard's sign, 
908004, Superficial injury of interscapular region without infection, 
919001, Pseudohomosexual state, 
928000, Musculoskeletal disorder, 
931004, Gestation period, 9 weeks, 
932006, Flat affect, 
934007, Thalassemia intermedia, 
943003, Congenital retinal aneurysm, 
954008, Renon-Delille syndrome, 
961007, Erythema nodosum, acute form, 
962000, Disability evaluation, disability 6%, 
964004, Open wound of pharynx without complication, 
965003, Toxic amblyopia, 
975000, Anorectal agenesis, 
978003, Chronic infantile eczema, 
981008, Hemorrhagic proctitis, 
984000, Perirectal cellulitis, 
987007, Cellulitis of temple region, 
991002, Wide QRS complex, 
998008, Chagas' disease with heart involvement, 
1003002, Religious discrimination, 
1020003, Disease due to Nairovirus, 
1023001, Apneic, 
1027000, Biliary esophagitis, 
1031006, Open wound of trachea without complication, 
1033009, Thoracic arthritis, 
1034003, Mesenteric-portal fistula, 
1038000, Disacchariduria, 
1045000, Colonospasm, 
1046004, Ureteritis glandularis, 
1051005, Hyperplasia of islet alpha cells with gastrin excess, 
1055001, Stenosis of precerebral artery, 
1059007, Opisthorchiasis, 
1070000, Facial myokymia, 
1073003, Xeroderma pigmentosum group B, 
1074009, Glucocorticoid-responsive primary hyperaldosteronism, 
1077002, Septal infarction by EKG, 
1079004, Macular retinal cyst, 
1085006, Vulval candidiasis, 
1089000, Congenital sepsis, 
1102005, Intraerythrocytic parasitosis by Nuttallia, 
1107004, Early latent syphilis, positive serology, negative cerebrospinal fluid, with relapse after treatment, 
1108009, Female pattern alopecia, 
1111005, Normal sebaceous gland activity, 
1112003, Degenerative disorder of eyelid, 
1116000, Chronic aggressive type B viral hepatitis, 
1124005, Postpartum period, 6 days, 
1125006, Septicemia during labor, 
1126007, Knee locking, 
1131009, Congenital valvular insufficiency, 
1134001, Muehrcke lines, 
1135000, Solar retinitis, 
1139006, Confrontation (visual) test, 
1140008, Thermal hypesthesia, 
1141007, Circumoral paresthesia, 
1145003, DSD - Developmental speech disorder, 
1150009, Congenital microcheilia, 
1151008, Constricted visual field, 
1152001, Skin reaction negative, 
1155004, Myocardial hypertrophy, determined by electrocardiogram, 
1156003, Cavitary prostatitis, 
1168007, Allotype, 
1184008, Glasgow coma scale, 10, 
1192004, Familial amyloid neuropathy, Finnish type, 
1194003, Disease condition determination, well controlled, 
1196001, Chronic bipolar II disorder, most recent episode major depressive, 
1197005, Carbuncle of heel, 
1201005, Benign essential hypertension, 
1203008, Deep third degree burn of forehead AND/OR cheek with loss of body part, 
1207009, Optic disc glaucomatous atrophy, 
1208004, Gastroptosis, 
1212005, Juvenile dermatomyositis, 
1214006, Infection by Strongyloides, 
1230003, No diagnosis on Axis 1, 
1232006, Congenital articular rigidity with myopathy, 
1239002, Congenital anteversion of femoral neck, 
1240000, Lying prone, 
1259003, Schistosis, 
1261007, Multiple fractures of ribs, 
1264004, Injury of descending left colon without open wound into abdominal cavity, 
1271009, Knuckle pads, leuconychia and deafness, 
1280009, Isologous chimera, 
1282001, Laryngeal perichondritis, 
1283006, Visual acuity less than .02 (1/60, count fingers 1 meter) or visual field less than 5 degrees, but better than 5., 
1284000, Abnormal jaw closure, 
1286003, Vitamin K deficiency coagulation disorder, 
1287007, Congenital absence of bile duct, 
1297003, Infection by Cladosporium carrionii, 
1308001, Complication of reimplant, 
1310004, Impaired glucose tolerance associated with genetic syndrome, 
1317001, Injury of ovary without open wound into abdominal cavity, 
1318006, Post-translational genetic protein processing, 
1323006, Kanamycin poisoning, 
1332008, Conjugated visual deviation, 
1335005, Peyronies disease, 
1343000, DTA - Deep transverse arrest, 
1345007, Hang nail, 
1351002, Iliac artery injury, 
1356007, Calculus of common duct with obstruction, 
1361009, Leucocoria, 
1363007, Fetal or neonatal effect of chronic maternal respiratory disease, 
1367008, Injury of superior mesenteric artery, 
1370007, Open fracture of metacarpal bone(s), 
1372004, Unicornate uterus, 
1376001, Obsessive compulsive personality disorder, 
1378000, Supination-eversion injury of ankle, 
1380006, Agoraphobia without history of panic disorder with limited symptom attacks, 
1383008, Hallucinogen induced mood disorder, 
1384002, Diffuse cholesteatosis of middle ear, 
1386000, Intracranial hemorrhage, 
1387009, Solanum nigrum poisoning, 
1388004, Metabolic alkalosis, 
1393001, Lenz-Majewski dysplasia, 
1395008, Complication of ultrasound therapy, 
1402001, Frightened, 
1412008, Anterior subcapsular polar cataract, 
1415005, Inflammation of lymphatics, 
1418007, Hypoplastic chondrodystrophy, 
1419004, Injury of prostate without open wound into abdominal cavity, 
1426004, Necrotizing glomerulonephritis, 
1427008, Intraspinal abscess, 
1430001, Intracranial hemorrhage following injury without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) without return to pre-existing level, 
1447000, Icthyoparasitism, 
1469007, Miscarriage with urinary tract infection, 
1474004, Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth, 
1475003, Herpes labialis, 
1478001, Obliteration of lymphatic vessel, 
1479009, 20q partial trisomy syndrome, 
1482004, Chalazion, 
1486001, Orbital congestion, 
1488000, PONV - Postoperative nausea and vomiting, 
1489008, External hordeolum, 
1492007, Congenital anomaly of large intestine, 
1493002, Acute endophthalmitis, 
1499003, Bipolar I disorder, single manic episode with postpartum onset, 
1512006, Congenital stricture of bile duct, 
1515008, Gorham disease, 
1518005, Splenitis, 
1519002, Congenital phlebectasia, 
1521007, Blister of buttock without infection, 
1523005, Clinical stage IV B, 
1525003, Blister of foot without infection, 
1531000, Nitrofuran derivative poisoning, 
1532007, Viral pharyngitis, 
1534008, Palsy of conjugate gaze, 
1538006, Central nervous system malformation in foetus affecting obstetrical care, 
1539003, Nodular tendinous disease of finger, 
1542009, Omphalocele with obstruction, 
1544005, Open dislocation of knee, 
1551001, Osteomyelitis of femur, 
1556006, Clark melanoma level 4, 
1563006, Protein S deficiency, 
1567007, Chronic gastric ulcer without hemorrhage, without perforation AND without obstruction, 
1588003, Heterosexual precocious puberty, 
1592005, Failed attempted termination of pregnancy with uremia, 
1593000, Infantile hemiplegia, 
1606009, Infection caused by Macracanthorhynchus hirudinaceus, 
1608005, Increased capillary permeability, 
1639007, Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy, 
1647007, Primaquine poisoning, 
1648002, Lymphocytic pseudotumor of lung, 
1654001, Steroid-induced glaucoma, 
1657008, Toxic effect of phosdrin, 
1658003, Closed fracture clavicle, lateral end, 
1663004, Tumor grade G2, 
1667003, Early fontanel closure, 
1670004, Cerebral hemiparesis, 
1671000, Sago spleen, 
1674008, Meesman's epithelial corneal dystrophy, 
1679003, Arthritis associated with another disorder, 
1682008, Transitory amino acid metabolic disorder, 
1685005, Rat-bite fever, 
1686006, Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder, 
1694004, Accessory lobe of lung, 
1698001, Ulcer of bile duct, 
1703007, Increased leg circumference, 
1705000, Closed fracture of base of neck of femur, 
1708003, Open dislocation of clavicle, 
1714005, Photokeratitis, 
1717003, Guttate hypomelanosis, 
1723008, Urethral stricture due to schistosomiasis, 
1724002, Infection caused by Crenosoma, 
1734006, Fracture of vertebral column with spinal cord injury, 
1735007, Thrill, 
1739001, Occipital fracture, 
1742007, Female hypererotism, 
1744008, Connation of teeth, 
1748006, Thrombophlebitis of deep femoral vein, 
1755008, Healed coronary, 
1761006, Biliary cirrhosis, 
1763009, Stromal keratitis, 
1767005, Fisher syndrome, 
1769008, Thoracodidymus, 
1771008, Insulin biosynthesis defect, 
1776003, RTA - Renal tubular acidosis, 
1777007, Increased molecular dissociation, 
1778002, Malocclusion due to abnormal swallowing, 
1779005, OFD II - Orofacial-digital syndrome II, 
1794009, Idiopathic corneal edema, 
1816003, Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks, 
1821000, Chemoreceptor apnea, 
1822007, Impaired glucose tolerance associated with pancreatic disease, 
1824008, Allergic gastritis, 
1826005, Granuloma of lip, 
1828006, Infestation caused by Gasterophilus hemorrhoidalis, 
1829003, Microcephalus, 
1833005, Phacoanaphylactic endophthalmitis, 
1835003, Necrosis of pancreas, 
1837006, Orciprenaline poisoning, 
1845001, Paraparesis, 
1847009, Endophthalmitis, 
1848004, Poisoning caused by gaseous anesthetic, 
1852004, Traumatic injury of sixth cranial nerve, 
1855002, Developmental academic disorder, 
1856001, Accessory nose, 
1857005, Congenital rubella syndrome, 
1858000, Infection caused by Stilesia globipunctata, 
1860003, Fluid volume disorder, 
1865008, Impaired intestinal protein absorption, 
1869002, Rupture of iris sphincter, 
1881003, Increased nutritional requirement, 
1892002, Star figure at the macula, 
1896004, Ectopic breast tissue, 
1897008, Amsinckia species poisoning, 
1899006, Autosomal hereditary disorder, 
1903004, Infestation caused by Psorergates ovis, 
1908008, von Willebrand disease, type IIC, 
1909000, Impairment level: better eye: severe impairment: lesser eye: near-total impairment, 
1922008, Congenital absence of urethra, 
1926006, Osteopetrosis, 
1938002, Emotional AND/OR mental disease in mother complicating pregnancy, childbirth AND/OR puerperium, 
1939005, Abnormal vascular flow, 
1943009, Left-right confusion, 
1953005, Congenital deficiency of pigment of skin, 
1954004, Dilated cardiomyopathy secondary to toxic reaction, 
1955003, Preauricular pit, 
1959009, Encephalartos species poisoning, 
1961000, Chronic polyarticular juvenile rheumatoid arthritis, 
1963002, PNH - Paroxysmal nocturnal hemoglobinuria, 
1965009, Normal skin pH, 
1967001, Congenital absence of forearm only, 
1973000, Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions, 
