code, system, display
0000000004, HPNSRVCODE, SMOKING & TOBACCO CESSATION
0000000005, HPNSRVCODE, CRISIS INTERVENTION
0000000007, HPNSRVCODE, ALCOHOLISM & SUBSTANCE ABUSE INPATIENT SERVICE
0000000010, HPNSRVCODE, ALLERGY AND IMMUNOLOGY
0000000011, HPNSRVCODE, GENERAL HOSPITAL (ARTICLE 28)
0000000017, HPNSRVCODE, OMH-OPERATED PSYCHIATRIC CENTER & OASAS-OPERATED & ASA INPATIENT
0000000018, HPNSRVCODE, PSYCHIATRIC HOSPITAL AND PRIVATE ARTICLE 31
0000000020, HPNSRVCODE, ANESTHESIOLOGY SERVICES
0000000030, HPNSRVCODE, COLON AND RECTAL SURGERY
0000000032, HPNSRVCODE, HOME INFUSION VENDORS
0000000033, HPNSRVCODE, SLEEP MEDICINE PHYSICIANS
0000000040, HPNSRVCODE, DERMATOLOGY
0000000041, HPNSRVCODE, DERMATOPATHOLOGY
0000000050, HPNSRVCODE, FAMILY PRACTICE
0000000055, HPNSRVCODE, ADOLESCENT MEDICINE: FAMILY MEDICINE
0000000056, HPNSRVCODE, ADOLESCENT MEDICINE: PEDIATRICS
0000000057, HPNSRVCODE, BEHAVIORAL PEDIATRICS
0000000058, HPNSRVCODE, INTERNAL MEDICINE AND PEDIATRICS
0000000059, HPNSRVCODE, PEDIATRIC RHEUMATOLOGY
0000000060, HPNSRVCODE, INTERNAL MEDICINE
0000000061, HPNSRVCODE, PEDIATRIC INFECTIOUS DISEASE
0000000062, HPNSRVCODE, CARDIOVASCULAR DISEASE
0000000063, HPNSRVCODE, ENDOCRINOLOGY AND METABOLISM
0000000064, HPNSRVCODE, GASTROENTEROLOGY
0000000065, HPNSRVCODE, HEMATOLOGY - INTERNAL MED
0000000066, HPNSRVCODE, INFECTIOUS DISEASES
0000000067, HPNSRVCODE, NEPHROLOGY
0000000068, HPNSRVCODE, PULMONARY DISEASES
0000000069, HPNSRVCODE, RHEUMATOLOGY
0000000070, HPNSRVCODE, NEUROLOGICAL SURGERY
0000000071, HPNSRVCODE, SPINAL CORD INJURY MEDICINE
0000000072, HPNSRVCODE, PEDIATRIC NEUROSURGERY
0000000073, HPNSRVCODE, PEDIATRIC DERMATOLOGY
0000000074, HPNSRVCODE, MEDICAL TOXICOLOGY
0000000075, HPNSRVCODE, UNDERSEA & HYPERBARIC MEDICINE
0000000076, HPNSRVCODE, PEDIATRIC REHABILITATION
0000000080, HPNSRVCODE, NUCLEAR MEDICINE
0000000081, HPNSRVCODE, MEDICAL NUCLEAR PHYSICS
0000000083, HPNSRVCODE, NEUROMUSCULAR MEDICINE
0000000084, HPNSRVCODE, NEURORADIOLOGY
0000000085, HPNSRVCODE, NEUROTOLOGY
0000000089, HPNSRVCODE, OBSTETRICS AND GYNECOLOGY
0000000092, HPNSRVCODE, MATERNAL AND FETAL MEDICINE
0000000093, HPNSRVCODE, REPRODUCTIVE ENDOCRINOLOGY
0000000095, HPNSRVCODE, CERTIFIED DIABETES EDUCATOR
0000000100, HPNSRVCODE, OPTHALMOLOGY
0000000101, HPNSRVCODE, PEDIATRIC OPHTHALMOLOGY
0000000102, HPNSRVCODE, CERTIFIED ASTHMA EDUCATOR
0000000110, HPNSRVCODE, ORTHOPEDIC SURGERY
0000000111, HPNSRVCODE, HAND SURGERY - ORTHOPEDIC SURGERY
0000000112, HPNSRVCODE, HAND SURGERY - PLASTIC SURGERY
0000000113, HPNSRVCODE, HAND SURGERY - SURGERY
0000000114, HPNSRVCODE, PLASTIC SURGERY WITH THE HEAD & NECK
0000000120, HPNSRVCODE, OTOLARYNGOLOGY
0000000121, HPNSRVCODE, PEDIATRIC OTOLARYNGOLOGY
0000000127, HPNSRVCODE, CLIA REGISTRATION/COMPLIANCE/ACCREDITATION
0000000128, HPNSRVCODE, CLIA WAIVER
0000000129, HPNSRVCODE, CLIA PHYSICIAN PERFORMED MICROSCOPY PROCEDURE
0000000130, HPNSRVCODE, CLIA WAIVER/REGISTRATION
0000000131, HPNSRVCODE, BLOOD BANKING
0000000135, HPNSRVCODE, PATHOLOGY SERVICES
0000000136, HPNSRVCODE, FORENSIC PATHOLOGY
0000000137, HPNSRVCODE, HEMATOLOGY - PSC PATH
0000000138, HPNSRVCODE, CHEMICAL PATHOLOGY
0000000139, HPNSRVCODE, MEDICAL MICROBIOLOGY
0000000140, HPNSRVCODE, PATHOLOGY WITH MOLECULAR GENETIC SPEC
0000000141, HPNSRVCODE, NEUROPATHOLOGY
0000000142, HPNSRVCODE, ANATOMIC PATHOLOGY
0000000143, HPNSRVCODE, DERMATOPATHOLOGY - PSC PATH
0000000144, HPNSRVCODE, TRANSPLANT HEPATOLOGY
