code, display
0000000401, SMOKING TOBACCO CESSATION
0000000501, CRISIS INTERVENTION
0000000701, ALCOHOLISM SUBSTANCE ABUSE INPATIENT
0000000901, FEMALE PELVIC MEDICINE AND RECONSTUCTIVE SURGERY
0000001001, ALLERGY AND IMMUNOLOGY
0000001101, GENERAL HOSPITAL ARTICLE 28
0000001701, OMH PSYCH CTR OASAS ASA INPATIENT
0000001801, PRIVATE PSYCH AND ASA INPATIENT
0000002001, ANESTHESIOLOGY
0000002002, CERTIFIED REGISTERED NURSE ANESTHETIST CRNA
0000003001, COLON AND RECTAL SURGERY
0000003201, HOME INFUSION VENDORS
0000003301, SLEEP MEDICINE
0000004001, DERMATOLOGY
0000004002, MICROGRAPHIC SURGERY MOHS
0000004101, DERMATOPATHOLOGY
0000005001, FAMILY MEDICINE
0000005002, NURSE PRACTITIONER FAMILY HEALTH
0000005501, ADOLESCENT MEDICINE FAMILY MEDICINE
0000005601, ADOLESCENT MEDICINE PEDIATRICS
0000005701, BEHAVIORAL PEDIATRICS
0000005801, INTERNAL MEDICINE AND PEDIATRICS
0000005901, PEDIATRIC RHEUMATOLOGY
0000006001, INTERNAL MEDICINE
0000006002, NURSE PRACTITIONER ADULT HEALTH
0000006101, PEDIATRIC INFECTIOUS DISEASE
0000006201, CARDIOVASCULAR DISEASE
0000006301, ENDOCRINOLOGY AND METABOLISM
0000006401, GASTROENTEROLOGY
0000006501, HEMATOLOGY INTERNAL MEDICINE
0000006601, INFECTIOUS DISEASE
0000006701, NEPHROLOGY
0000006801, PULMONARY DISEASES
0000006901, RHEUMATOLOGY
0000006902, RHEUMATOLOGY B DENSITOMERY
0000007001, NEUROSURGERY
0000007101, SPINAL CORD INJURY MEDICINE
0000007201, PEDIATRIC NEUROSURGERY
0000007301, PEDIATRIC DERMATOLOGY
0000007401, MEDICAL TOXICOLOGY
0000007501, UNDERSEA AND HYPERBARIC MEDICINE
0000007601, PEDIATRIC REHABILITATION MEDICINE
0000008001, NUCLEAR MEDICINE
0000008101, MEDICAL NUCLEAR PHYSICS
0000008301, NEUROMUSCULAR MEDICINE
0000008401, NEURORADIOLOGY
0000008501, NEUROTOLOGY
0000008901, OBSTETRICS AND GYNECOLOGY
0000008902, MIDWIFERY
0000008903, OBSTETRICS ONLY
0000008904, FEMALE PELVIC MEDICINE AND SURGERY
0000009201, MATERNAL AND FETAL MEDICINE
0000009301, REPRODUCTIVE ENDOCRINOLOGY
0000009302, REPRODUCTIVE ENDO AND INFERTILITY
0000009501, CERTIFIED DIABETES EDUCATOR
0000010001, OPHTHALMOLOGY
0000010002, OPHTHALMOLOGY GLAUCOMA
0000010003, NEURO-OPHTHALMOLOGY
0000010004, OPHTHALMOLOGY OCULAR GENETICS
0000010101, PEDIATRIC OPHTHALMOLOGY
0000010201, CERTIFIED ASTHMA EDUCATOR
